Staffed_Beds,Total_Discharges,ADI_NATRANK,2021/3/10_x,2022/3/10_x,2023/3/10_x,2021/3/10_y,2022/3/10_y,2023/3/10_y,Value_education,Value_poverty,Value_unemployment,pop_commutes_by_car_truck_van_any,pop_commutes_by_public_transport_any,median_age,pop_citizenship_non_us,pop_citizenship_us_native,pop_citizenship_us_naturalized,pop_ethnicity_hispanic_latino,pop_ethnicity_non_hispanic,pop_race_asian,pop_race_black,pop_race_hawaiian_pacific_islander,pop_race_multiple,pop_race_native_american,pop_race_other,pop_race_white,pop_sex_female,pop_sex_male,households_with_annual_income_100000_to_124999,households_with_annual_income_125000_to_149999,households_with_annual_income_150000_to_199999,households_with_annual_income_200000_or_more,households_with_annual_income_30000_to_39999,households_with_annual_income_40000_to_49999,households_with_annual_income_50000_to_59999,households_with_annual_income_60000_to_75499,households_with_annual_income_75000_to_99999,households_with_annual_income_less_than_30000,pop_employment_status_in_labor_force,pop_received_ssi_foodstamps_snap_past_year,households_with_no_internet_access,pop_adult_education_bachelors_or_higher,pop_adult_education_high_school,pop_adult_education_less_than_high_school,pop_adult_education_some_college_or_associates,pop_total
64.0,1308.0,74.42857142857143,1872.0,4084.0,4750.0,25.0,42.0,52.0,22.49642857185714,9.715384615384616,7.314814814814815,6983,20,41.6,153.0,15809.0,176.0,622,15516,110,19,0,419,16,149,15425,8210,7928,653,289,268,159,795,658,523,745,1122,2169,8425,984,954,2112,2066,438,3223,16138
0.0,0.0,72.26315789473684,1603.0,3451.0,3986.0,54.0,72.0,80.0,22.507142857035717,9.830769230769231,8.15925925925926,7768,22,48.2,223.0,17079.0,225.0,352,17175,74,138,0,165,42,61,17047,8674,8853,660,347,255,227,717,897,556,961,1171,1772,9323,826,1301,1503,3577,700,2791,17527
107.0,3201.0,75.6875,5038.0,11485.0,13727.0,87.0,143.0,167.0,22.071428571214284,10.984615384615385,7.988888888888888,19110,30,42.8,443.0,46023.0,268.0,1491,45243,311,1338,3,1265,118,76,43623,23880,22854,1729,890,771,455,1972,1884,1856,2057,2550,5313,22610,2654,3635,4957,7770,2116,8688,46734
0.0,0.0,81.23529411764706,2552.0,4511.0,4987.0,35.0,53.0,59.0,22.50357142857143,11.238461538461538,7.388888888888889,7194,12,36.4,2057.0,13908.0,1033.0,4847,12151,387,528,23,694,95,1424,13847,8512,8486,680,275,245,219,682,448,694,568,918,1659,8406,819,1138,1187,2630,1765,2475,16998
0.0,0.0,38.66666666666666,10287.0,22900.0,26604.0,93.0,139.0,157.0,21.714285714321427,4.123076923076924,2.8846153846153846,42723,12,35.4,4045.0,82659.0,3714.0,5583,84835,4163,1720,104,3243,95,776,80317,45761,44657,3497,3722,3984,4334,1623,2435,2640,3588,4948,4612,50452,2203,2242,26461,7365,2193,12380,90418
0.0,0.0,73.5,766.0,1589.0,1809.0,23.0,29.0,35.0,22.678571428571427,11.646153846153847,4.780769230769231,3298,13,36.5,19.0,8847.0,111.0,137,8840,51,0,0,116,38,19,8753,4499,4478,390,227,160,143,226,281,300,269,549,637,4275,488,1037,782,980,813,1474,8977
0.0,0.0,89.0,574.0,1508.0,1823.0,9.0,24.0,28.0,22.932142857142857,17.146153846153847,10.12857142857143,2985,13,36.0,131.0,7720.0,57.0,252,7656,75,96,14,238,0,34,7451,3933,3975,245,92,83,61,384,288,270,514,308,997,3778,318,551,885,1225,295,826,7908
0.0,0.0,67.88888888888889,1865.0,3996.0,4718.0,40.0,68.0,71.0,22.278571428535717,8.584615384615386,3.9538461538461536,8151,55,43.7,44.0,16981.0,82.0,266,16841,85,40,0,298,16,109,16559,8420,8687,642,571,338,249,734,584,519,1022,892,1364,9553,310,1053,1657,3426,539,2832,17107
357.0,5248.0,77.52,4299.0,9083.0,11061.0,61.0,130.0,160.0,22.353571428892856,13.353846153846153,8.15925925925926,16822,81,42.7,522.0,38473.0,232.0,1318,37909,363,2375,2,1127,44,132,35184,20224,19003,1347,861,763,636,1962,1542,1533,1695,1941,4570,19650,3019,2976,3870,5827,1165,8434,39227
44.0,1109.0,52.89473684210526,2057.0,4121.0,4660.0,40.0,72.0,77.0,22.496428571785717,7.846153846153846,4.430769230769231,8174,9,48.2,227.0,16934.0,99.0,375,16885,171,31,0,274,30,58,16696,8681,8579,810,450,436,470,823,928,826,829,1303,1604,9412,394,1007,2753,1877,321,3400,17260
262.0,10522.0,59.54430379746835,12475.0,25837.0,30647.0,196.0,293.0,325.0,21.78214285728572,6.861538461538462,3.876923076923077,44360,117,38.5,1486.0,94527.0,1180.0,2511,94682,1144,3042,577,2419,231,451,89329,49243,47950,4148,2626,1730,2073,3398,3384,3141,3894,6203,8058,52646,4386,4198,16103,13743,2544,15552,97193
0.0,0.0,81.2,1157.0,2344.0,2648.0,40.0,51.0,55.0,22.571428571785717,12.26923076923077,7.174074074074074,3966,0,42.8,300.0,8809.0,213.0,907,8415,26,200,0,189,12,214,8681,4631,4691,384,135,135,118,489,408,381,540,536,897,4898,302,614,867,1260,415,1946,9322
0.0,0.0,82.4090909090909,1799.0,4069.0,4885.0,36.0,71.0,86.0,22.285714285785712,11.261538461538462,7.792592592592593,8087,17,43.8,191.0,19356.0,57.0,511,19093,87,299,1,567,26,29,18595,9762,9842,631,343,174,258,887,806,806,820,1061,2429,9647,858,1526,1860,3639,667,3265,19604
0.0,0.0,78.82352941176471,1491.0,3518.0,4150.0,41.0,61.0,69.0,22.57500000007143,11.923076923076923,8.07037037037037,6523,3,44.3,77.0,15148.0,488.0,574,15139,240,241,107,340,87,47,14651,7864,7849,630,243,184,313,845,621,526,725,948,1864,7957,803,1250,1707,2413,580,2711,15713
0.0,0.0,82.54545454545455,1098.0,2502.0,2922.0,20.0,41.0,48.0,22.57499999989286,11.692307692307692,7.374074074074074,4008,3,43.5,366.0,9688.0,37.0,1305,8786,0,133,0,247,5,18,9688,5032,5059,342,190,124,88,428,400,497,438,600,1088,4809,486,879,910,1669,556,1778,10091
0.0,0.0,77.625,565.0,1373.0,1617.0,9.0,24.0,29.0,22.435714285892857,17.228571428571428,15.27,2973,9,46.1,62.0,6778.0,55.0,201,6694,0,58,0,123,18,85,6611,3469,3426,208,182,154,93,281,289,208,389,442,706,3468,311,434,721,1081,155,1509,6895
0.0,0.0,82.16666666666667,736.0,1712.0,2028.0,10.0,21.0,28.0,22.285714285857143,10.984615384615385,7.014814814814815,3953,13,44.2,90.0,8749.0,84.0,264,8659,47,33,0,218,13,72,8540,4562,4361,309,171,194,86,515,537,326,427,556,916,4680,669,485,953,1418,283,1642,8923
0.0,0.0,65.71428571428571,1327.0,2549.0,3011.0,31.0,40.0,50.0,21.785714285642857,11.578571428571427,3.476923076923077,5353,21,42.4,56.0,12099.0,107.0,164,12098,40,85,0,136,9,0,11992,6194,6068,626,294,313,304,407,468,399,628,924,801,6388,390,684,1810,1538,255,2471,12262
0.0,0.0,69.625,1103.0,2345.0,2745.0,28.0,44.0,48.0,21.714285714321427,8.0,3.853846153846154,4747,5,45.8,128.0,10545.0,29.0,295,10407,27,26,0,245,14,103,10287,5376,5326,555,187,230,240,487,315,299,509,639,1017,5577,481,637,1106,1686,272,2103,10702
0.0,0.0,78.375,1741.0,3471.0,3951.0,42.0,72.0,87.0,22.28571428517857,8.907692307692308,7.781481481481482,6420,0,42.6,305.0,14270.0,330.0,922,13983,405,184,40,267,26,93,13890,7532,7373,623,264,237,193,510,533,579,810,949,1424,7531,426,934,1904,2015,522,2993,14905
0.0,0.0,78.88888888888889,1384.0,2830.0,3244.0,31.0,46.0,51.0,22.56785714278572,9.223076923076924,7.4148148148148145,4968,9,44.5,130.0,10526.0,53.0,499,10210,41,143,0,140,30,114,10241,5360,5349,411,242,146,146,457,314,489,597,983,1002,5832,433,751,1311,1741,315,1897,10709
0.0,0.0,83.63157894736842,1709.0,4105.0,5002.0,39.0,59.0,70.0,22.282142857107143,10.223076923076924,7.4222222222222225,7268,40,44.5,235.0,16478.0,211.0,760,16164,64,225,19,394,102,113,16007,8377,8547,676,339,166,151,667,546,693,882,1066,1999,8584,706,1586,1850,2591,601,3295,16924
0.0,0.0,71.64285714285714,1678.0,3416.0,3805.0,70.0,93.0,101.0,21.717857142714283,9.015384615384615,3.7,6534,8,43.5,31.0,13977.0,35.0,267,13776,37,41,19,230,34,16,13666,6999,7044,671,424,219,228,499,443,516,740,988,1366,7551,448,1029,1537,2294,492,2801,14043
0.0,0.0,76.76190476190476,2802.0,5540.0,6435.0,37.0,70.0,82.0,22.43571428603571,11.8,8.062962962962963,8321,11,40.3,349.0,19121.0,419.0,989,18900,545,446,9,574,68,156,18091,9806,10083,830,289,261,135,804,699,753,829,1132,1859,9702,1060,1329,2266,3577,683,3344,19889
0.0,0.0,78.71428571428571,1000.0,2035.0,2288.0,22.0,34.0,37.0,22.496428571357143,10.430769230769233,7.337037037037038,3660,1,40.9,95.0,9074.0,32.0,153,9048,48,33,2,151,1,1,8965,4590,4611,394,91,180,73,467,366,447,498,514,724,4805,196,620,769,1615,346,1656,9201
0.0,0.0,80.36363636363636,1141.0,2609.0,3035.0,25.0,37.0,43.0,22.58214285732143,10.1,3.838461538461538,4133,3,41.9,159.0,9309.0,50.0,433,9085,79,26,0,204,13,50,9146,4754,4764,500,189,113,153,367,382,484,394,516,1097,4818,515,744,974,1505,305,1895,9518
0.0,0.0,81.85714285714286,838.0,1796.0,2099.0,32.0,48.0,51.0,22.50000000014285,15.12857142857143,19.209375,2902,11,42.7,74.0,6765.0,23.0,191,6671,5,114,0,60,5,44,6634,3440,3422,235,134,135,100,272,366,212,278,486,754,3542,315,479,616,1053,235,1303,6862
0.0,0.0,66.64285714285714,1411.0,3663.0,4297.0,23.0,49.0,53.0,22.35714285692857,7.1923076923076925,3.765384615384616,7539,106,42.6,75.0,15986.0,94.0,483,15672,61,89,0,437,4,56,15508,8051,8104,682,429,409,232,488,641,784,691,1021,1269,8794,405,974,1996,2565,371,3318,16155
0.0,0.0,71.45454545454545,2108.0,4594.0,5481.0,39.0,68.0,74.0,22.27857142882143,11.353846153846153,8.148148148148149,8468,22,43.6,85.0,19143.0,120.0,296,19052,82,138,106,301,3,43,18675,9621,9727,766,417,585,244,893,661,612,846,1176,1983,10121,941,1420,2130,3480,459,3509,19348
48.0,696.0,69.02777777777777,3903.0,8616.0,10313.0,67.0,106.0,124.0,22.21785714267857,8.5,4.726923076923077,15953,21,41.8,588.0,36147.0,297.0,899,36133,211,555,0,844,86,99,35237,18024,19008,1505,981,610,520,1248,1435,1370,1794,1857,3324,18709,2289,2276,3859,7158,935,7173,37032
0.0,0.0,77.92307692307692,1286.0,3465.0,4334.0,34.0,50.0,60.0,22.532142857107143,13.623076923076924,7.4185185185185185,6713,11,42.9,1879.0,15784.0,490.0,573,17580,2037,432,0,367,8,103,15206,9229,8924,569,271,97,266,686,719,502,807,796,2142,9029,894,942,3008,2276,733,3149,18153
1016.0,36584.0,46.81318681318681,13205.0,33776.0,44353.0,76.0,140.0,173.0,21.785714285642857,8.938461538461539,2.911538461538462,62945,620,30.4,12033.0,133382.0,5404.0,8634,142185,9346,11509,74,5415,271,2510,121694,76013,74806,6124,3697,4185,4795,5229,4139,3934,5571,7121,15635,86738,5249,4042,40434,9552,2924,18869,150819
0.0,0.0,69.66666666666667,2856.0,5432.0,6403.0,55.0,72.0,82.0,21.750000000357144,8.307692307692308,7.592592592592593,8142,9,43.2,110.0,20346.0,119.0,422,20153,183,453,0,460,37,0,19442,9970,10605,751,345,336,328,1007,774,782,669,1503,1691,10296,682,1482,2073,3949,613,3848,20575
0.0,0.0,83.6923076923077,926.0,2045.0,2459.0,29.0,47.0,54.0,22.50357142860714,12.253846153846156,7.622222222222223,4194,0,43.4,76.0,10061.0,26.0,205,9958,12,40,2,141,9,77,9882,4973,5190,358,173,203,136,418,463,361,434,566,1218,5012,544,809,993,1820,289,1816,10163
0.0,0.0,79.17647058823529,1989.0,3766.0,4313.0,55.0,87.0,97.0,22.71071428567857,10.753846153846156,7.140740740740741,6099,10,44.8,188.0,14606.0,70.0,469,14395,89,174,1,202,23,67,14308,7459,7405,453,443,214,198,564,723,553,776,995,1656,7444,627,1015,1372,2129,323,3148,14864
50.0,826.0,80.15,3547.0,7820.0,9102.0,54.0,138.0,148.0,22.350000000214287,13.492307692307692,9.059259259259258,14044,13,43.3,179.0,33533.0,234.0,1241,32705,216,1015,6,839,92,141,31637,16870,17076,1006,668,526,296,1336,1512,1264,1845,1859,4026,16450,2174,2328,3289,6193,1091,6719,33946
549.0,21859.0,61.95625,19551.0,51685.0,63854.0,319.0,567.0,654.0,21.746428571321427,7.753846153846154,3.95,106152,401,37.7,5744.0,215368.0,4489.0,7647,217954,5114,12595,352,8298,429,1429,197384,114489,111112,9169,5599,6719,5902,7841,8392,7604,9464,13698,16916,124803,10182,8426,43229,26223,5381,41937,225601
0.0,0.0,76.6,1231.0,2473.0,2919.0,47.0,60.0,67.0,22.432142857142857,11.292307692307691,7.966666666666668,5058,8,41.5,726.0,10089.0,310.0,1774,9351,389,134,0,225,26,612,9739,5398,5727,406,218,198,179,406,420,324,509,734,949,5703,385,738,999,1865,851,1952,11125
0.0,0.0,80.4,728.0,1742.0,2151.0,21.0,32.0,33.0,22.289285714607143,13.915384615384616,13.33103448275862,3679,0,44.2,176.0,8306.0,74.0,189,8367,0,24,0,107,4,23,8398,4218,4338,267,145,191,102,282,345,316,441,593,1036,4177,670,675,708,1585,252,1589,8556
0.0,0.0,61.30769230769231,1460.0,2721.0,3117.0,41.0,48.0,55.0,22.417857142142857,7.023076923076923,2.838461538461538,5192,0,37.8,175.0,11565.0,60.0,335,11465,47,12,33,204,40,124,11340,5800,6000,542,208,249,94,435,465,387,637,818,758,6166,490,548,1158,1888,260,2175,11800
0.0,0.0,51.333333333333336,1463.0,3137.0,3644.0,18.0,38.0,45.0,21.710714285857144,5.623076923076923,4.119230769230769,7600,7,40.8,11.0,16014.0,123.0,354,15794,157,90,0,203,35,7,15656,8108,8040,762,539,476,459,460,508,517,673,938,1287,9285,635,971,2312,2447,319,3216,16148
0.0,0.0,78.85714285714286,2166.0,4876.0,5723.0,46.0,85.0,95.0,22.496428571285715,11.792307692307691,7.699999999999999,9643,3,38.8,193.0,21918.0,240.0,510,21841,287,356,50,435,28,126,21069,11076,11275,975,396,251,204,796,694,836,960,1435,2400,11488,1320,1348,2473,4139,731,3506,22351
0.0,0.0,65.3076923076923,3442.0,7514.0,8799.0,72.0,120.0,133.0,22.28571428557143,7.661538461538461,3.811538461538461,14392,73,39.6,262.0,32567.0,364.0,676,32517,343,350,11,584,59,127,31719,16613,16580,1518,905,646,731,1145,1155,1439,1438,1946,2609,17133,1382,1858,5364,4791,692,5289,33193
27.0,897.0,76.48780487804878,4669.0,9375.0,11247.0,73.0,109.0,131.0,22.064285714285717,10.246153846153844,8.303703703703704,16906,97,38.3,3436.0,34734.0,1634.0,9050,30754,1475,482,15,1689,87,2437,33619,19886,19918,1595,871,638,385,1166,1462,1465,1877,2201,3728,19860,2497,2632,3747,5865,3228,6303,39804
0.0,0.0,56.833333333333336,1494.0,3331.0,3971.0,20.0,42.0,46.0,21.71428571439285,6.753846153846154,3.3884615384615384,6435,0,42.9,113.0,14806.0,104.0,500,14523,58,72,0,223,86,101,14483,7551,7472,627,432,410,365,385,356,419,652,894,902,7852,730,528,2150,2212,411,2828,15023
0.0,0.0,73.0,1218.0,2460.0,2794.0,40.0,50.0,50.0,22.57142857082143,10.284615384615384,7.014814814814814,4542,5,42.5,52.0,10474.0,62.0,163,10425,44,47,0,85,28,22,10362,5359,5229,419,283,226,114,418,451,350,581,626,1004,5545,406,621,1266,1560,388,1764,10588
0.0,0.0,85.5,770.0,1715.0,2050.0,29.0,48.0,53.0,22.289285714214284,11.792307692307691,7.770370370370371,3552,0,47.1,2.0,8646.0,27.0,191,8484,0,28,36,181,111,5,8314,4545,4130,313,237,113,125,446,338,368,447,500,1101,4318,414,783,683,1481,237,1721,8675
0.0,0.0,75.625,902.0,1878.0,2173.0,28.0,48.0,52.0,22.57857142828572,11.323076923076922,8.148148148148149,3327,21,42.0,4.0,7709.0,48.0,178,7583,22,2,0,260,0,1,7476,3930,3831,450,223,49,86,273,336,295,317,492,722,3954,415,617,845,1292,328,1384,7761
0.0,0.0,80.0909090909091,971.0,2200.0,2566.0,36.0,52.0,59.0,22.289285713857144,12.023076923076925,7.44074074074074,4454,6,44.7,2.0,9954.0,60.0,403,9613,9,15,0,232,116,29,9615,5111,4905,503,243,92,176,373,296,494,511,529,1262,5059,761,822,954,1629,341,1878,10016
13.0,903.0,69.57142857142857,4279.0,9514.0,11155.0,93.0,131.0,139.0,22.071428571428573,9.830769230769231,7.703703703703703,19331,32,38.2,1519.0,39775.0,1409.0,7742,34961,379,1011,12,1649,109,1576,37967,21612,21091,1580,1116,905,548,1535,1632,1575,1607,2572,3473,22008,2411,2208,4783,7401,2028,7152,42703
0.0,0.0,77.0,1843.0,3407.0,3833.0,58.0,71.0,73.0,22.574999999821426,10.63076923076923,6.877777777777777,6320,13,41.8,211.0,13401.0,184.0,711,13085,114,245,4,203,29,167,13034,6923,6873,520,238,213,187,637,513,524,567,1147,1430,7281,403,857,1580,2155,412,2489,13796
0.0,0.0,80.0,684.0,1392.0,1547.0,15.0,22.0,23.0,22.571428571785717,15.80714285714286,23.517142857142854,2578,14,44.5,190.0,5726.0,100.0,499,5517,26,55,3,215,13,96,5608,2950,3066,198,160,93,74,183,326,260,474,361,535,3190,431,314,492,972,304,1177,6016
0.0,0.0,83.83333333333333,1791.0,3326.0,3796.0,19.0,46.0,54.0,22.49642857117857,14.7,7.433333333333333,6305,21,44.4,177.0,14886.0,142.0,554,14651,160,340,26,387,52,51,14189,7182,8023,508,216,268,109,603,673,599,794,801,1843,7449,725,981,1545,2650,511,3069,15205
0.0,0.0,77.8,1024.0,2027.0,2367.0,22.0,37.0,41.0,22.571428570892856,11.461538461538462,6.992592592592593,4194,7,42.5,96.0,8765.0,80.0,268,8673,13,134,0,292,32,31,8439,4435,4506,429,126,122,123,400,328,334,393,574,883,4815,369,650,1165,1117,259,1689,8941
0.0,0.0,58.0,3705.0,6304.0,7026.0,79.0,99.0,112.0,22.0321428575,6.707692307692308,3.1115384615384616,11701,21,40.5,629.0,24245.0,267.0,1353,23788,171,383,0,221,135,470,23761,12779,12362,1351,656,597,523,914,869,828,1135,1765,1660,13778,713,1219,2895,3827,701,4888,25141
0.0,0.0,84.125,811.0,1575.0,1907.0,19.0,27.0,31.0,22.78928571432143,12.292307692307691,14.996666666666666,2873,0,46.2,131.0,6515.0,79.0,273,6452,54,28,32,102,11,43,6455,3435,3290,322,97,87,85,352,263,277,371,461,812,3473,361,492,522,1035,350,1300,6725
1575.0,77259.0,58.506024096385545,52419.0,124161.0,145914.0,566.0,1066.0,1201.0,21.72142857114286,8.23076923076923,3.757692307692308,226242,608,35.7,24516.0,441309.0,19593.0,41226,444192,23235,33808,417,17358,1180,8538,400882,246180,239238,20703,13451,14339,12811,16574,16442,15024,20825,26971,33985,270986,28741,18225,102196,58460,20070,78402,485418
251.0,11143.0,68.6086956521739,9925.0,24138.0,27734.0,148.0,309.0,349.0,21.71071428535714,10.169230769230769,3.780769230769231,42137,62,39.6,2018.0,89790.0,1670.0,7470,86008,723,1561,11,2581,365,1564,86673,47397,46081,3582,2053,1964,1421,3444,3172,3080,4154,5237,8768,48642,5008,5548,10942,14278,4627,17332,93478
33.0,1237.0,67.8125,1488.0,3558.0,4579.0,30.0,60.0,65.0,22.571428571357146,10.538461538461538,7.514814814814815,7455,0,41.2,371.0,17908.0,112.0,604,17787,423,245,0,459,2,100,17162,9478,8913,725,326,342,529,661,727,750,673,982,2112,9871,498,1170,2434,2965,455,2387,18391
0.0,0.0,78.66666666666667,511.0,1127.0,1310.0,20.0,33.0,42.0,22.93571428557143,20.692857142857143,31.46,1797,0,44.3,48.0,4871.0,3.0,129,4793,38,5,0,62,10,99,4708,2522,2400,141,98,75,68,210,175,133,183,298,462,2240,362,342,454,792,86,819,4922
0.0,0.0,79.5,1199.0,2392.0,2832.0,18.0,32.0,42.0,22.789285714357145,10.907692307692308,3.838461538461538,4271,12,46.2,90.0,9529.0,92.0,337,9374,38,70,0,98,0,53,9452,4907,4804,345,208,220,152,377,544,414,491,629,964,5043,533,770,783,1543,275,2008,9711
441.0,18076.0,62.58778625954199,17247.0,40894.0,48359.0,215.0,377.0,439.0,21.717857143142854,10.4,4.338461538461538,76718,125,38.4,3647.0,165426.0,3865.0,12031,160907,4827,12765,21,7589,505,1509,145722,88125,84813,6856,4299,4299,4369,5869,5850,5530,6820,8929,14616,88612,9436,9247,30470,24238,4979,29814,172938
0.0,0.0,73.4,1185.0,2705.0,3120.0,34.0,50.0,56.0,22.282142857071427,8.192307692307692,6.803703703703703,5027,13,46.5,151.0,11283.0,110.0,353,11191,37,115,0,147,20,131,11094,5901,5643,488,320,279,283,544,514,341,461,705,1131,6132,411,911,1395,1586,355,2235,11544
0.0,0.0,55.16,4817.0,7975.0,8792.0,69.0,85.0,96.0,22.49999999978571,6.438461538461539,3.1115384615384616,15457,54,33.6,1319.0,33027.0,554.0,3805,31095,206,143,16,1035,92,787,32621,17314,17586,1360,744,631,623,700,1070,986,1521,2661,2083,19272,610,1041,5070,3977,1135,5207,34900
199.0,8356.0,53.51470588235294,9704.0,19671.0,22987.0,46.0,84.0,101.0,21.785714285678573,8.453846153846154,6.307407407407408,39298,126,26.8,7064.0,87903.0,2388.0,3487,93868,7825,2119,0,3208,145,1106,82952,46456,50899,3593,2552,2101,2037,2956,3038,2870,4017,4327,10506,54550,1940,2516,21510,5526,1104,11571,97355
0.0,0.0,75.7,2032.0,3840.0,4595.0,68.0,88.0,100.0,22.282142857464287,12.115384615384617,8.074074074074074,7252,22,41.7,462.0,16152.0,348.0,1790,15172,57,106,6,589,1354,130,14720,8610,8352,555,338,283,175,561,677,698,671,1021,1757,8591,870,1155,1305,2942,683,3200,16962
0.0,0.0,85.375,641.0,1317.0,1519.0,12.0,21.0,25.0,22.785714285857143,13.053846153846154,19.066666666666663,2713,10,43.6,167.0,5894.0,99.0,492,5668,9,1,0,178,9,155,5808,3087,3073,230,105,116,105,312,241,184,299,391,584,3162,190,473,461,938,275,1179,6160
0.0,0.0,81.0,1196.0,2712.0,3144.0,31.0,49.0,54.0,22.28571428535714,12.023076923076925,7.4111111111111105,4982,30,40.6,101.0,12094.0,108.0,378,11925,204,21,8,175,0,116,11779,6318,5985,399,262,212,110,525,437,428,489,722,1615,6138,484,739,1346,1743,653,2215,12303
0.0,0.0,86.55555555555556,538.0,1377.0,1681.0,18.0,26.0,28.0,22.7821428575,15.292307692307691,10.885714285714286,2507,46,45.6,28.0,6998.0,78.0,117,6987,34,21,0,110,0,25,6914,3460,3644,191,114,69,83,292,325,302,320,400,873,3269,365,737,535,1178,372,1326,7104
120.0,1978.0,83.97297297297297,4090.0,8926.0,10321.0,111.0,193.0,220.0,22.364285714642858,13.884615384615383,8.155555555555555,14820,22,39.6,1593.0,32319.0,1190.0,3844,31258,507,1298,303,1069,86,1322,30517,17629,17473,1129,613,519,235,1708,1511,1161,1600,1469,4459,17227,2799,2704,3546,5660,2235,6363,35102
0.0,0.0,48.61290322580645,5189.0,12436.0,14388.0,77.0,134.0,152.0,21.714285714035714,4.353846153846154,3.4269230769230767,23471,41,38.5,237.0,50066.0,564.0,1503,49364,388,301,141,1094,24,325,48594,25885,24982,2393,1689,1654,1193,1044,1243,1424,1847,3465,3368,27935,1813,2105,8752,6750,905,9156,50867
0.0,0.0,62.526315789473685,2396.0,5608.0,6732.0,48.0,76.0,88.0,21.78928571432143,7.784615384615384,3.369230769230769,9914,27,40.5,567.0,21136.0,397.0,1432,20668,97,147,6,436,45,579,20790,11169,10931,1013,504,326,283,935,927,772,1144,1496,1476,11881,820,1134,2652,3732,855,3570,22100
0.0,0.0,89.66666666666667,477.0,1263.0,1506.0,21.0,33.0,34.0,22.92857142892857,15.738461538461538,21.28181818181818,2405,25,41.8,31.0,6361.0,34.0,105,6321,5,12,0,178,31,35,6165,3293,3133,185,82,84,44,399,320,216,364,278,648,2858,503,642,440,1156,348,1009,6426
44.0,2988.0,80.1891891891892,4970.0,10310.0,11996.0,88.0,156.0,185.0,22.357142857357143,13.076923076923077,7.5,14976,81,39.3,699.0,35350.0,299.0,1978,34370,494,1567,5,1079,114,573,32516,17481,18867,1188,750,587,374,1786,1077,1470,1800,1929,4644,17622,1851,2558,3946,5502,1377,7013,36348
0.0,0.0,82.84615384615384,1310.0,2942.0,3433.0,31.0,45.0,47.0,22.574999999785717,11.069230769230767,7.614814814814815,4713,0,41.9,87.0,10241.0,146.0,520,9954,132,162,0,147,31,82,9920,5272,5202,407,251,159,75,500,561,297,465,696,1122,5657,396,684,1230,1422,298,1912,10474
0.0,0.0,56.68421052631579,1844.0,3795.0,4453.0,30.0,46.0,55.0,22.717857142785714,8.446153846153846,4.1923076923076925,8434,12,41.9,268.0,19681.0,141.0,463,19627,183,183,2,154,67,154,19347,10130,9960,697,568,351,349,745,643,790,976,1349,1797,11710,553,1260,2786,2836,144,3322,20090
379.0,14582.0,72.22857142857143,13925.0,28742.0,32721.0,215.0,329.0,356.0,21.78571428535714,13.323076923076922,7.162962962962962,47249,145,35.8,4505.0,93644.0,4538.0,17583,85104,2664,3860,413,5594,1872,2669,85615,51803,50884,4362,2204,1847,1561,3462,2909,3251,4092,6033,9802,54520,7493,5428,12216,14256,6492,17582,102687
0.0,0.0,78.77777777777777,668.0,1750.0,2028.0,8.0,14.0,17.0,22.64285714282143,15.921428571428573,7.988888888888888,3565,0,43.6,19.0,7366.0,37.0,226,7196,31,60,2,225,0,39,7065,3641,3781,275,179,175,128,344,308,289,287,570,644,4157,160,587,795,1274,192,1512,7422
0.0,0.0,86.6923076923077,1748.0,3608.0,4009.0,31.0,62.0,70.0,22.57142857164286,11.923076923076923,7.655555555555555,5000,0,42.3,342.0,12157.0,145.0,1584,11060,12,19,0,402,2,380,11829,6347,6297,412,270,167,115,763,537,491,752,647,1428,5848,519,1157,1104,1961,435,2479,12644
0.0,0.0,89.53846153846153,1163.0,3951.0,5021.0,17.0,46.0,53.0,22.710714285714285,16.476923076923075,8.11111111111111,5426,2,42.0,195.0,12132.0,176.0,466,12037,120,77,133,501,68,0,11604,6395,6108,264,175,128,63,602,443,653,478,716,1603,6079,530,970,996,2137,428,2388,12503
0.0,0.0,81.57142857142857,820.0,2106.0,2540.0,19.0,27.0,29.0,22.142857142857142,11.623076923076924,11.228571428571428,2865,17,39.7,33.0,7804.0,40.0,172,7705,3,46,0,185,56,0,7587,3980,3897,303,102,90,107,232,143,251,473,367,1086,3557,506,688,770,1333,371,1131,7877
0.0,0.0,80.2,1536.0,4260.0,4949.0,13.0,33.0,34.0,22.064285714642857,12.36923076923077,8.77037037037037,6839,0,37.1,81.0,15922.0,207.0,499,15711,69,495,0,1003,59,153,14431,8371,7839,598,310,141,143,668,694,435,589,824,1637,8130,615,1286,1468,2990,457,2490,16210
0.0,0.0,90.2,368.0,1038.0,1211.0,7.0,8.0,8.0,22.932142857357142,17.135714285714286,33.13488372093023,1988,0,43.1,42.0,4433.0,18.0,253,4240,28,22,0,77,69,8,4289,2175,2318,149,108,67,58,212,220,145,231,201,540,2196,92,357,363,729,177,850,4493
29.0,1158.0,83.5909090909091,2579.0,6480.0,7553.0,48.0,86.0,96.0,22.496428571071423,15.13846153846154,7.0851851851851855,11689,51,39.5,972.0,24673.0,564.0,3947,22262,83,293,83,1117,281,542,23810,13485,12724,763,490,441,216,1209,1144,924,1089,1250,3102,13304,755,1800,2594,3590,1484,5048,26209
