Staffed_Beds,Total_Discharges,ADI_NATRANK,2021/3/10_x,2022/3/10_x,2023/3/10_x,2021/3/10_y,2022/3/10_y,2023/3/10_y,Value_education,Value_poverty,Value_unemployment,pop_commutes_by_car_truck_van_any,pop_commutes_by_public_transport_any,median_age,pop_citizenship_non_us,pop_citizenship_us_native,pop_citizenship_us_naturalized,pop_ethnicity_hispanic_latino,pop_ethnicity_non_hispanic,pop_race_asian,pop_race_black,pop_race_hawaiian_pacific_islander,pop_race_multiple,pop_race_native_american,pop_race_other,pop_race_white,pop_sex_female,pop_sex_male,households_with_annual_income_100000_to_124999,households_with_annual_income_125000_to_149999,households_with_annual_income_150000_to_199999,households_with_annual_income_200000_or_more,households_with_annual_income_30000_to_39999,households_with_annual_income_40000_to_49999,households_with_annual_income_50000_to_59999,households_with_annual_income_60000_to_75499,households_with_annual_income_75000_to_99999,households_with_annual_income_less_than_30000,pop_employment_status_in_labor_force,pop_received_ssi_foodstamps_snap_past_year,households_with_no_internet_access,pop_adult_education_bachelors_or_higher,pop_adult_education_high_school,pop_adult_education_less_than_high_school,pop_adult_education_some_college_or_associates,pop_total
362.0,7918.0,77.77551020408163,6014.0,16219.0,21291.0,122.0,246.0,279.0,21.789285714285715,14.86923076923077,9.714814814814815,21938,37,42.5,504.0,54100.0,353.0,1591,53366,282,8909,57,1132,313,985,43279,28509,26448,1432,1033,757,315,2397,1940,1756,2492,2763,6912,24589,2523,5123,5076,9586,3853,9662,54957
44.0,1172.0,91.58333333333331,1073.0,2841.0,3604.0,24.0,68.0,76.0,22.782142856821427,23.692307692307693,10.525925925925923,3812,0,45.2,0.0,12092.0,127.0,59,12160,70,5872,0,81,20,0,6176,6268,5951,309,10,72,94,846,478,268,354,458,1696,4311,974,1635,849,2933,689,1584,12219
0.0,0.0,86.3,906.0,2931.0,3776.0,24.0,56.0,64.0,22.353571428464285,19.607692307692307,9.774074074074074,3737,0,49.0,54.0,10639.0,3.0,137,10559,0,3451,0,93,32,68,7052,5197,5499,357,32,163,68,733,470,322,280,409,1182,4299,484,853,626,2427,931,1800,10696
142.0,3400.0,85.4054054054054,4005.0,9250.0,11804.0,108.0,224.0,261.0,22.428571428214287,19.36923076923077,8.81111111111111,14162,8,43.3,146.0,36816.0,134.0,657,36439,245,4707,32,641,78,133,31260,19062,18034,807,544,638,329,1759,1237,1223,1321,1756,5381,16146,2310,3415,2920,6709,2398,6482,37096
49.0,353.0,90.07692307692308,1476.0,3781.0,4738.0,55.0,95.0,110.0,22.42857142892857,19.23076923076923,8.27037037037037,5065,5,42.3,159.0,13592.0,75.0,305,13521,183,3267,8,316,104,58,9890,7237,6589,362,194,151,137,414,617,274,441,567,1854,5903,1110,1397,1332,2587,1301,1800,13826
137.0,7669.0,73.5909090909091,9042.0,24457.0,31520.0,183.0,356.0,398.0,22.007142857500003,12.169230769230769,4.911538461538462,33806,101,41.2,1211.0,81233.0,901.0,3676,79669,304,943,0,2750,295,758,78295,42266,41079,2212,1230,1315,659,3733,3025,3093,3118,3850,9498,37290,4113,5791,6585,12850,7257,16051,83345
89.0,1228.0,80.4047619047619,4697.0,12441.0,16507.0,107.0,223.0,245.0,22.071428571428573,15.138461538461538,8.54814814814815,17923,1,37.8,781.0,47815.0,697.0,3285,46008,680,10193,0,1640,413,1081,35286,25028,24265,1087,962,602,430,2234,1604,1435,2031,2366,6654,21667,4005,3026,4835,7509,3361,9486,49293
109.0,3933.0,92.1219512195122,3438.0,8348.0,11031.0,143.0,236.0,259.0,22.071428571785717,28.753846153846155,11.38888888888889,13128,0,39.6,282.0,37837.0,65.0,108,38076,250,27290,11,190,48,1,10394,20583,17601,802,460,307,151,2043,1117,1182,1136,1269,6942,15559,5099,3969,2964,7079,2323,6377,38184
115.0,2440.0,82.80357142857143,8538.0,18674.0,22522.0,177.0,319.0,345.0,22.289285714285715,18.623076923076923,8.703703703703704,28409,79,39.6,4420.0,66306.0,704.0,10530,60900,76,1093,92,2509,850,6256,60554,36123,35307,1721,732,599,573,2960,2507,2426,2543,2807,9497,31626,6369,5107,5128,11275,7532,12247,71430
80.0,1199.0,59.48,9578.0,22926.0,29837.0,191.0,335.0,362.0,21.717857142857145,11.207692307692309,4.576923076923077,32713,108,38.7,995.0,79867.0,664.0,2427,79099,749,17230,0,1645,241,588,61073,42138,39388,2986,1822,1754,1318,2532,2598,2596,3349,4250,6589,36953,3844,4262,11204,13836,5469,13483,81526
